city_key,country_key,city,country,latitude,longitude,status,source,geoname_id,match_name,notes
cambridge,united kingdom,Cambridge,United Kingdom,52.2,0.11667,resolved,GeoNames cities500,2653941,Cambridge,canonical/ascii match
cambridge,united states,Cambridge,United States,42.3751,-71.10561,resolved,GeoNames cities500,4931972,Cambridge,canonical/ascii match
cambridge,united states of america,Cambridge,United States of America,42.3751,-71.10561,resolved,GeoNames cities500,4931972,Cambridge,canonical/ascii match
canberra,australia,Canberra,Australia,-35.28346,149.12807,resolved,GeoNames cities500,2172517,Canberra,canonical/ascii match
cape town,south africa,Cape Town,South Africa,-33.92584,18.42322,resolved,GeoNames cities500,3369157,Cape Town,canonical/ascii match
casablanca,morocco,Casablanca,Morocco,33.58831,-7.61138,resolved,GeoNames cities500,2553604,Casablanca,canonical/ascii match
casablanca,morroco,Casablanca,Morroco,33.58831,-7.61138,resolved,GeoNames cities500,2553604,Casablanca,canonical/ascii match
cdmx,méxico,CDMX,México,19.42847,-99.12766,resolved,GeoNames cities500,3530597,Mexico City,canonical/ascii match
charkhi dādri,india,Charkhi Dādri,India,28.59166,76.27161,resolved,GeoNames cities500,1274571,Charkhi Dādri,canonical/ascii match
charlotte,united states of america,Charlotte,United States of America,35.22709,-80.84313,resolved,GeoNames cities500,4460243,Charlotte,canonical/ascii match
chelmsford,united kingdom,Chelmsford,United Kingdom,51.73575,0.46958,resolved,GeoNames cities500,2653266,Chelmsford,canonical/ascii match
chemnitz,germany,Chemnitz,Germany,50.8357,12.92922,resolved,GeoNames cities500,2940132,Chemnitz,canonical/ascii match
chennai,india,Chennai,India,13.08784,80.27847,resolved,GeoNames cities500,1264527,Chennai,canonical/ascii match
chicago,united states,Chicago,United States,41.85003,-87.65005,resolved,GeoNames cities500,4887398,Chicago,canonical/ascii match
chicago,united states of america,Chicago,United States of America,41.85003,-87.65005,resolved,GeoNames cities500,4887398,Chicago,canonical/ascii match
chicago,us,Chicago,US,41.85003,-87.65005,resolved,GeoNames cities500,4887398,Chicago,canonical/ascii match
claremont,united states,Claremont,United States,34.09668,-117.71978,resolved,GeoNames cities500,5337696,Claremont,canonical/ascii match
